time_sec,rms_Sample,rms_Voc 1,rms_Voc 2,rms_Guitare,rms_Basse,rms_BatterieG,rms_BatterieD,region,beat,measure,x_Voc 1,y_Voc 1
236.7,23549143.57,41647431.833,318944124.853,1606102.271,179613796.551,295523199.375,447282583.485,,1,6,0.002428025062733312,0.9396140573065157
236.8,18845834.187,38558120.12,315734674.877,1315049.586,176461797.221,301896361.436,443471516.827,,1,6,-0.0051921609041388275,0.9698979342438476
236.9,15083198.62,35876113.963,317053747.652,1082550.394,175861162.41,303352444.919,443193394.567,,1,6,0.0007369813424066216,0.9211245691498156
237.0,27407978.75,33484765.842,308134502.709,896924.417,177053108.534,303740670.696,476179925.391,,2,6,-0.0016905882106320429,0.8111171346669147
237.1,21932985.458,31101801.046,275742773.547,748680.218,179806124.803,301893059.475,476822717.929,,2,6,0.08706842190820355,0.5841646797809633
237.2,17552922.619,28720022.426,234113631.884,630029.188,177385714.981,305588643.483,478129301.554,,2,6,0.16079038119878097,0.1652902831536487
237.3,25433994.56,26817424.27,206116422.06,534512.65,177332501.887,312338353.351,496327461.903,,3,6,0.009538703279785767,-0.2803897927745709
237.4,20353756.674,25515161.911,194490678.627,458749.349,175090219.93,318517276.646,436375584.899,,3,6,-0.35385067438446016,-0.578932379327852
237.5,16289695.717,24002892.752,164808632.769,397829.125,172556609.567,309215839.191,367682882.846,,3,6,-0.7849573901922526,-0.3916336160423566
237.6,28373095.77,132828389.955,200581806.424,52653762.856,168542780.123,284316126.908,400114897.09,,4,6,-1.355148188262391,0.0976986145519323
237.7,22705010.868,220065877.815,230648109.018,92721244.409,170612133.546,292588000.911,392250094.956,,4,6,-1.9545685323913247,0.22495660671633888
237.8,18170578.621,288140326.456,253329308.738,120887152.26,173354626.722,304171619.371,343501618.699,,4,6,-1.989179838707052,0.0699072829485371
237.9,14543074.2,312926233.955,245390385.496,123183311.977,175650175.681,316012404.922,296419755.189,,4,6,-1.8078069152681837,0.1761949958844683
238.0,26976090.617,305990621.022,220976559.51,113473605.802,159884549.813,318048643.746,329807618.156,,1,7,-1.8325199525477065,-0.007811966016721628
238.1,21587472.002,281985945.599,189509711.345,97167447.122,145144388.958,261502091.383,285351852.266,,1,7,-1.3001425148653052,-0.07559649909241029
238.2,17276463.983,273818899.015,181933859.749,90924853.857,154088525.541,262712875.076,320320542.245,,1,7,0.3029693094971958,0.3338169493413361
238.3,29162544.227,325384067.235,226184078.263,121405915.8,158435293.097,272342480.203,345340051.39,,2,7,2.0481153598914728,0.45231237550063086
238.4,23336569.634,367297422.073,254072542.699,146985810.769,159302260.44,277968946.536,318585847.538,,2,7,2.4402234247212458,0.14900117260761747
238.5,18675733.074,383047790.435,280190384.17,159936474.195,162305604.707,287196113.915,278621585.318,,2,7,2.322710113764013,0.21613172285580173
238.6,26332454.094,374074815.775,278913092.821,149737439.172,165298423.078,293718621.457,300942667.405,,3,7,2.312806024417568,0.3756353040037455
238.7,21072612.769,337627766.181,236680999.347,131512662.139,155790315.677,283065688.205,301499403.656,,3,7,2.203333056320607,0.478872954791837
238.8,16864654.209,294139975.435,200238721.513,110170826.997,152600023.363,242678901.866,278221025.206,,3,7,1.2577965310110562,0.8044602281987177
238.9,13498188.695,288588598.569,209051123.212,116086078.747,159266218.321,253179939.652,310610753.522,,3,7,0.4723390123245833,1.55628723543265
239.0,26139950.972,344918948.507,247092122.403,143739458.784,163492812.634,264986325.573,334197690.473,,4,7,-0.0025927980087283274,1.7287273953878184
239.1,20918527.739,387063831.544,270616575.827,167951018.141,167505064.799,269985907.33,302281839.608,,4,7,-0.5185711445722783,1.4549374610094847
239.2,16741418.747,416397708.304,283069473.626,177009136.21,173947123.333,275438247.725,261991229.135,,4,7,-0.9084224360735027,1.0719936314416543
239.3,28734495.759,408383513.922,259259988.926,165227386.08,179300392.2,281368713.915,304194074.652,,1,8,-1.0722529444486684,0.7870055626523862
239.4,22994115.938,359579293.012,238753027.55,143223000.109,170982134.662,250489437.426,272997104.108,,1,8,-0.9176409760209513,0.8551599158901626
239.5,18401770.117,338014029.044,242266036.254,142028584.062,172276946.405,240928641.432,305897025.367,,1,8,-0.30947779837258704,1.0844460900202548
239.6,30062936.19,366282528.796,271270142.799,155223674.447,175277768.294,253520040.452,353663819.159,,2,8,0.029991978266738384,0.7247194445792914
239.7,24056859.313,388475105.935,296113269.874,163727464.125,180791149.154,264916624.387,334676662.245,,2,8,0.4129132290365768,0.41459460327844005
